sig,final_cumulative_return,max_drawdown
0.1,-0.40354725438645056,-0.6091022319883178
0.2,-0.3171324834260669,-0.5605092263391697
0.3,-0.34540968069466005,-0.5787083162107822
0.4,-0.298671661266372,-0.5291115763246639
0.5,-0.3278084665931946,-0.548165836555053
0.6,-0.25123679474186045,-0.4992493302856361
0.7,-0.19090304616367715,-0.47844530261197526
0.8,-0.16901142662837787,-0.4442594378053538
0.9,-0.18294631559899854,-0.4458817951544731
1.0,-0.18372832979115528,-0.46095920494508036
1.1,-0.08775254623399409,-0.43008418918287483
1.2,-0.07374178609554571,-0.42329259165376953
1.3,0.10001993883722249,-0.3856788139705115
1.4,0.0691913173217098,-0.3775864259594832
1.5,0.038137178187567455,-0.37085602095315406
1.6,0.08869307001408733,-0.36730315109703493
1.7,0.11509859516298326,-0.36730315109703504
1.8,0.18756902373641982,-0.2991600651661672
1.9,0.24741402621635133,-0.3141788300332633
2.0,0.4266905919340669,-0.2596174977163549
2.1,0.389816467223143,-0.2194828836531334
2.2,0.32774582003440256,-0.23687636252437716
2.3,0.29745891642591826,-0.23687636252437727
2.4,0.3463461031748989,-0.23687636252437716
2.5,0.49550329737501664,-0.17593071907181002
2.6,0.39103306908237245,-0.17593071907180968
2.7,0.39103306908237245,-0.17593071907180968
2.8,0.39447559758091355,-0.1759307190718099
2.9,0.24244512191462553,-0.1782396487082396
3.0,0.28408400753223795,-0.17284781524796233
3.1,0.30776267474495134,-0.1631792157994354
3.2,0.2401550034472435,-0.1631792157994354
3.3,0.2320879237024409,-0.15197144860485456
3.4,0.2416297469256936,-0.1454039477228013
3.5,0.24859541170507993,-0.14540394772280119
3.6,0.2200888654475166,-0.1454039477228013
3.7,0.31460503309253895,-0.1454039477228014
3.8,0.3643058782638178,-0.1454039477228014
3.9,0.387261537752438,-0.13444926003910151
4.0,0.35620626991304327,-0.13444926003910151
4.1,0.37457441859762053,-0.12719418263397364
4.2,0.3595128818240658,-0.13675772225508975
4.3,0.4050422302081309,-0.13675772225508986
4.4,0.46607156154439755,-0.1156992185289295
4.5,0.4178530136323886,-0.1156992185289295
4.6,0.4178530136323886,-0.1156992185289295
4.7,0.5275369565186823,-0.1156992185289295
4.8,0.5275369565186823,-0.1156992185289295
4.9,0.45076081672484225,-0.1156992185289295
5.0,0.46204865893315494,-0.1156992185289295
5.1,0.24398492626493784,-0.1350575122435499
5.2,0.24398492626493784,-0.1350575122435499
5.3,0.20038655200164768,-0.1350575122435499
5.4,0.14520702532344565,-0.1350575122435499
5.5,0.16708679480422317,-0.11853234096205467
5.6,0.16708679480422317,-0.11853234096205467
5.7,0.16708679480422317,-0.11853234096205467
5.8,0.16708679480422317,-0.11853234096205467
5.9,0.19510168043134613,-0.0988041970852791
6.0,0.18555280308457878,-0.09880419708527921
6.1,0.22570937695825877,-0.0988041970852791
6.2,0.2417472236781919,-0.09880419708527921
6.3,0.2417472236781919,-0.09880419708527921
6.4,0.2417472236781919,-0.09880419708527921
6.5,0.2417472236781919,-0.09880419708527921
6.6,0.2417472236781919,-0.09880419708527921
6.7,0.2417472236781919,-0.09880419708527921
6.8,0.26014347884379463,-0.09880419708527899
6.9,0.23785238358508742,-0.09880419708527899
7.0,0.24643501455991546,-0.0765169664936155
7.1,0.22724876019895346,-0.07651696649361517
7.2,0.22724876019895346,-0.07651696649361517
7.3,0.22724876019895346,-0.07651696649361517
7.4,0.22724876019895346,-0.07651696649361517
7.5,0.22724876019895346,-0.07651696649361517
7.6,0.22724876019895346,-0.07651696649361517
7.7,0.22724876019895346,-0.07651696649361517
7.8,0.22724876019895346,-0.07651696649361517
7.9,0.22724876019895346,-0.07651696649361517
8.0,0.22724876019895346,-0.07651696649361517
8.1,0.22724876019895346,-0.07651696649361517
8.2,0.22724876019895346,-0.07651696649361517
8.3,0.22724876019895346,-0.07651696649361517
8.4,0.22724876019895346,-0.07651696649361517
8.5,0.22724876019895346,-0.07651696649361517
8.6,0.22724876019895346,-0.07651696649361517
8.7,0.22724876019895346,-0.07651696649361517
8.8,0.22724876019895346,-0.07651696649361517
8.9,0.033960100602924426,-0.07651696649361517
9.0,0.033960100602924426,-0.07651696649361517
9.1,0.033960100602924426,-0.07651696649361517
9.2,0.033960100602924426,-0.07651696649361517
9.3,-0.06029175050785851,-0.07651696649361517
9.4,-0.06029175050785851,-0.07651696649361517
9.5,-0.06029175050785851,-0.07651696649361517
9.6,-0.04705018775735903,-0.06498842748555855
9.7,-0.04705018775735903,-0.06498842748555855
9.8,-0.04705018775735903,-0.06498842748555855
9.9,-0.04705018775735903,-0.06498842748555855
